name,place_id,city
"Sekolah Kalam Kudus Bali (PG/ TK, SD, SMP, SMA)",ChIJqWX1Obo40i0R-3D3sA9M6K0,Badung Regency
SMK PGRI 1 Badung,ChIJbafC1UE80i0RjmB27eITJ2g,Badung Regency
SMK TI Udayana,ChIJOy4dw1w70i0RknazOZlrPKc,Badung Regency
SMK Kharisma Mengwi,ChIJO4HzBG870i0RjSSXQfMRmoI,Badung Regency
Smk Pariwisata Banyuatis,ChIJq6ru32ZD0i0RgHY7PA2DblM,Badung Regency
LPK - SMK PGRI 2 BADUNG,ChIJJ6_GuBM70i0RRZsz8evtx9Q,Badung Regency
Teaching Factory Smk Pgri 2 Bandung,ChIJd_Kkz-470i0RQKmX1IgNO1k,Badung Regency
Smk Kesehatan Kerti Usada,ChIJgQYMQF080i0RaviqYi16RYU,Badung Regency
Teaching Factory Smk Pusat Keunggulan Pgri 2 Badung,ChIJv5qvbJQ70i0REDDo_vaxaRs,Badung Regency
Balai Banjar Padang Lestari,ChIJpUln6IdH0i0RneUS7qzzuAQ,Badung Regency
Balai Banjar Padang Sumbu Kaja,ChIJW1JHpjtH0i0R5g7hXCanaYQ,Badung Regency
Balai Banjar Gadon,ChIJd_wwUqM40i0RamIrekhJTwk,Badung Regency
Banjar Babakan,ChIJ01PmzUY50i0RHI5FV9DhCf8,Badung Regency
Balai Banjar Pemamoran,ChIJO0xKgbpG0i0RUSgPGlY80to,Badung Regency
Banjar Seminyak,ChIJIdASUHlH0i0R3yrhy-OQeF0,Badung Regency
Balai Banjar Tandeg .,ChIJCWKYT4U40i0RfQGGkdWolBw,Badung Regency
"Balai Banjar Tegal Permai, Perumahan Dalung Permai",ChIJY4em7rs50i0RhE1GBHJEzRU,Badung Regency
Balai Banjar Bumi Kertha,ChIJaXvnehY50i0R9xPuIF-rcnw,Badung Regency
Balai Banjar Madya Sari,ChIJvRAv1Fo_0i0R7rqzInqv3xI,Badung Regency
Balai Banjar Perumahan Cempaka Mas,ChIJAWElcyA50i0RAKT8Hh0CQRk,Badung Regency
"BANJAR PENGUBENGAN KAUH, KEROBOKAN KELOD",ChIJa1MCoU1H0i0RAfiyrJhDty4,Badung Regency
Balai Banjar Uma Sari,ChIJ7fujwmVH0i0Rmw0RJuUIiDE,Badung Regency
Balai Banjar Gunung Pande,ChIJTclu8QE50i0Ri4mJXeQPCYs,Badung Regency
Balai Banjar Surya Bhuana,ChIJS_gLrrg40i0RqsmovjUrJIg,Badung Regency
Banjar Anyar Kaja,ChIJS9UPrZk40i0RXdRpF36_MdU,Badung Regency
Balai Banjar Puseh,ChIJw1R1GMg-0i0RUy7E7h5-wEA,Badung Regency
Balai Banjar Bebengan,ChIJv0WnahM50i0Rf9lMv_RQmXA,Badung Regency
Balai Banjar Sedahan,ChIJmUqpjk440i0RfUYehWlRESY,Badung Regency
Balai Banjar Kelan Desa,ChIJq-RFvQ1E0i0R7rKLqG5IqtM,Badung Regency
Balai Banjar Sengguan-Pasekan Sading,ChIJOT5c184-0i0RaBe2b-E22DU,Badung Regency
Balai Banjar Sigaran,ChIJIVdYnvo_0i0RoCkRTBxxHzw,Badung Regency
"Balai Banjar Kwanji Dalung, Badung",ChIJFdgaZgk50i0R5LspvP87raE,Badung Regency
Balai Serbaguna Banjar Tegeh,ChIJlfhx3Ng40i0Rc3QpRKY_rpA,Badung Regency
balai banjar pengembungan,ChIJHxhC2W840i0R4ACim58tm8E,Badung Regency
Balai Banjar Kangkang Desa Pererenan,ChIJ9fnXPlw40i0RPIJoVQ8naYs,Badung Regency
"Balai Banjar Pendem, Desa Adat Padang Luwih Dalung Kuta Utara Badung",ChIJ4cTHJAA50i0R0t7wq9Cyvtk,Badung Regency
"Balai Banjar Delod Yeh, Kekeran",ChIJ4_McW2k50i0R_SqfYiE-Q_c,Badung Regency
BALAI BANJAR DAMA,ChIJXTr06ic50i0REcf1wfEbbNw,Badung Regency
Balai Banjar Delod Pempatan,ChIJ9X8kT2I50i0R1aQXf-FLMEU,Badung Regency
Balai Banjar Kekeran,ChIJr3InSBY_0i0RBg9xOMTpaSg,Badung Regency
Balai Banjar Alas War Lukluk,ChIJwfGBIKw-0i0RGX5ujf_2TAI,Badung Regency
Balai Banjar Gunung Buduk,ChIJNYRnwRc50i0RvAhQhz8-e7g,Badung Regency
"Balai Banjar Karang Suwung, Sading",ChIJw6zwHQA_0i0RdkJ3H8rar-4,Badung Regency
Balai Banjar Bedil,ChIJJWppmNU70i0Rj1dJ_6RKQTs,Badung Regency
Balai Banjar Kelepekan,ChIJAVMB-1c40i0RLzNiCBRmW-M,Badung Regency
Bale Banjar - Balinese Cultural Hub,ChIJxYReVyxD0i0RPdTjk4JP_Js,Badung Regency
Kantor Desa Adat Kerobokan,ChIJKz9-Q7k50i0RJMoHhu3Le_M,Badung Regency
Bale Banjar Celuk Desa Adat Kapal,ChIJF1IzvPw70i0RZgtiJzGCLbc,Badung Regency
Kantor Kepala Desa Selat,ChIJ4THdETQj0i0RQjwTH8o2DGI,Badung Regency
Badung Regent Office,ChIJSxf-mSs50i0RVXosBGg6P2M,Badung Regency
Command Center Badung Regency,ChIJG6ysbSU50i0RflrJPzITi0Y,Badung Regency
Dinas Kependudukan dan Catatan Sipil Kabupaten Badung,ChIJjRUTCptA0i0ROABKtgLWFY0,Badung Regency
Badan Pendapatan Daerah Kabupaten Badung,ChIJt0b-7ko50i0R-V61olDa-Co,Badung Regency
Dinas Perindustrian dan Tenaga Kerja Kab. Badung,ChIJmWF5qC850i0R3WPyFwmknn4,Badung Regency
Dinas Perumahan Rakyat dan Kawasan Permukiman Kabupaten Badung,ChIJXavu0S850i0RuC4e51FiORw,Badung Regency
Dinas Lingkungan Hidup dan Kebersihan Kabupaten Badung,ChIJ8RMMai850i0R9V8exgdzthI,Badung Regency
Sd 3 Sulangai,ChIJMZzTA-gg0i0R0aEMb6IHgjM,Badung Regency
SD No. 6 Belok,ChIJQ4YyRAAh0i0RELjdCElMFqA,Badung Regency
SD N 2 SULANGAI,ChIJJ72CSH4h0i0RwOSFnt8e3Vs,Badung Regency
SD No. 4 Sibang Gede,ChIJ04U-vp4-0i0RAKBUY2J9afw,Badung Regency
SDN 2 Kedewatan,ChIJa2ZSrcQi0i0RBRA_nULWXgY,Badung Regency
SDN 17 Dauh Puri,ChIJ22FBhmYh0i0R00KTi1UleIg,Badung Regency
SDN 4 Sulangai,ChIJOzgxHvEg0i0Rq9Syf3pmyg8,Badung Regency
SDN 1 Sulangai,ChIJkfEgqcYg0i0RYwf0A1D4kAQ,Badung Regency
SDN 3 Petang,ChIJHcHxtRgh0i0RUnUf8_alAKk,Badung Regency
SDN 2 Sembung,ChIJWdztqlgj0i0RGMhCGNALO6o,Badung Regency
SDN 1 Cau Belayu,ChIJTc7XOWEj0i0Rt_UEZKqcPrc,Badung Regency
SDN 3 Sobangan,ChIJ19Qo7aU80i0Rywsp_4QdsEQ,Badung Regency
SDN 1 Blahkiuh,ChIJydNOGJQ80i0Rvx84km0ZkTY,Badung Regency
SDN 2 Sobangan,ChIJH-708Fg70i0RrDwFZLhIi_4,Badung Regency
